SKU (do not edit),Product Name (do not edit),Category (do not edit),Machine Tier [EDIT: trade / professional / industrial],List Price RM [EDIT — REQUIRED],Diameter [EDIT — e.g. 230mm or 9″],Arbor Size [EDIT — e.g. 22.23mm or M14],Segment Height [EDIT — e.g. 10mm],Bond Type [EDIT: soft / medium / hard / extraHard],Max RPM [EDIT — e.g. 6650],YouTube URL [EDIT — full https:// link],Notes for me [optional — anything you want flagged]
4″_10MM,4″-10mm Segment,Diamond Blades,Trade,0,10mm,22.23mm,,,,,
4″_40_TEETH_ALUMINIUM,4″ 40-Tooth Aluminium Blade,Diamond Blades,Trade,0,100mm,22.23mm,,,,,
4″_40_TEETH_WOOD,4″ 40-Tooth Wood Blade,Diamond Blades,Trade,0,100mm,22.23mm,,,,,
4″_PCD,4″ PCD,Diamond Blades,Trade,0,100mm,22.23mm,,,,,
4″-_6.5MM,4″-6.5mm Segment,Diamond Blades,Trade,0,100mm,22.23mm,,,,,
5″_TILE_SAW_BLADE,5″ Tile Saw Blade,Diamond Blades,Trade,0,125mm,22.23mm,,,,,
5″_125MM_88_SERIES,5″/125mm 88 Series,Diamond Blades,Trade,0,125mm,22.23mm,,,,,
5″_125MM_D_SERIES,5″/125mm D Series,Diamond Blades,Trade,0,125mm,22.23mm,,,,,
5″_125MM_TURBO_RIM_BLADE,5″/125mm Turbo Rim Blade,Diamond Blades,Trade,0,125mm,22.23mm,,,,,
6″_150MM_88_SERIES,6″/150mm 88 Series,Diamond Blades,Trade,0,150mm,22.23mm,,,,,
6″_150MM_D_SERIES,6″/150mm D Series,Diamond Blades,Trade,0,150mm,22.23mm,,,,,
7″_178MM_D_SERIES,7″/178mm D Series,Diamond Blades,Trade,0,178mm,22.23mm,,,,,
7″_40_TEETH_WOOD,7″ 40-Tooth Wood Blade,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_60_TEETH_WOOD,7″ 60-Tooth Wood Blade,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_80_TEETH_WOOD,7″ 80-Tooth Wood Blade,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_PCD,7″ PCD,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_6.5MM,7″-6.5mm Segment,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_180MM_D_SERIES,7″/180mm D Series,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
7″_180MM_TURBO_RIM_BLADE,7″/180mm Turbo Rim Blade,Diamond Blades,Trade,0,180mm,22.23mm,,,,,
9″_40_TEETH_WOOD-TEETH-WOOD,9″ 40-Tooth Wood Blade,Diamond Blades,Trade,0,230mm,22.23mm,,,,,
9″_40_TEETH_WOOD,9″ 40-Tooth Wood Blade (TCT),Diamond Blades,Trade,0,230mm,22.23mm,,,,,
9″_60_TEETH_WOOD,9″ 60-Tooth Wood Blade,Diamond Blades,Trade,0,230mm,22.23mm,,,,,
9″_TILE_SAW_BLADE,9″ Tile Saw Blade,Diamond Blades,Trade,0,230mm,22.23mm,,,,,
9″_230MM_D_SERIES,9″/230mm D Series,Diamond Blades,Trade,0,230mm,22.23mm,,,,,
