id,sku,category,diameter_mm,current_name,proposed_name,changed
145,4″_10MM,Diamond Blades,10,4″ – 10mm,4″-10mm Segment,yes
4,4″_40_TEETH_ALUMINIUM,Diamond Blades,100,4″ 40 Teeth Aluminium,4″ 40-Tooth Aluminium Blade,yes
62,4″_40_TEETH_WOOD,Diamond Blades,100,4″ 40 Teeth Wood,4″ 40-Tooth Wood Blade,yes
161,4″_PCD,Diamond Blades,100,4″ – PCD,4″ PCD,yes
146,4″-_6.5MM,Diamond Blades,100,4″- 6.5mm,4″-6.5mm Segment,yes
109,5″_TILE_SAW_BLADE,Diamond Blades,125,5″ Tile Saw Blade,5″ Tile Saw Blade,
171,5″_125MM_88_SERIES,Diamond Blades,125,5″/125mm 88 Series,5″/125mm 88 Series,
180,5″_125MM_D_SERIES,Diamond Blades,125,5″/125mm D Series,5″/125mm D Series,
174,5″_125MM_TURBO_RIM_BLADE,Diamond Blades,125,5″/125mm Turbo Rim Blade,5″/125mm Turbo Rim Blade,
179,6″_150MM_88_SERIES,Diamond Blades,150,6″/150mm 88 Series,6″/150mm 88 Series,
110,6″_150MM_D_SERIES,Diamond Blades,150,6″/150mm D Series,6″/150mm D Series,
177,7″_178MM_D_SERIES,Diamond Blades,178,7″/178mm D Series,7″/178mm D Series,
61,7″_40_TEETH_WOOD,Diamond Blades,180,7″ 40 Teeth Wood,7″ 40-Tooth Wood Blade,yes
60,7″_60_TEETH_WOOD,Diamond Blades,180,7″ 60 Teeth Wood,7″ 60-Tooth Wood Blade,yes
59,7″_80_TEETH_WOOD,Diamond Blades,180,7″ 80 Teeth Wood,7″ 80-Tooth Wood Blade,yes
162,7″_PCD,Diamond Blades,180,7″ – PCD,7″ PCD,yes
144,7″_6.5MM,Diamond Blades,180,7″ – 6.5mm,7″-6.5mm Segment,yes
178,7″_180MM_D_SERIES,Diamond Blades,180,7″/180mm D Series,7″/180mm D Series,
173,7″_180MM_TURBO_RIM_BLADE,Diamond Blades,180,7″/180mm Turbo Rim Blade,7″/180mm Turbo Rim Blade,
221,9″_40_TEETH_WOOD-TEETH-WOOD,Diamond Blades,230,9″ 40 Teeth Wood,9″ 40-Tooth Wood Blade,yes
8,9″_40_TEETH_WOOD,Diamond Blades,230,9″ 40 Teeth Wood,9″ 40-Tooth Wood Blade (WOOD),yes
58,9″_60_TEETH_WOOD,Diamond Blades,230,9″ 60 Teeth Wood,9″ 60-Tooth Wood Blade,yes
188,9″_TILE_SAW_BLADE,Diamond Blades,230,9″ Tile Saw Blade,9″ Tile Saw Blade,
176,9″_230MM_D_SERIES,Diamond Blades,230,9″/230mm D Series,9″/230mm D Series,
167,9″_230MM_GHOST_SERIES,Diamond Blades,230,9″/230mm GHOST Series,9″/230mm GHOST Series,
175,9″_230MM_OCEAN_SERIES,Diamond Blades,230,9″/230mm OCEAN Series,9″/230mm OCEAN Series,
133,9″_230MM_PDA_SERIES,Diamond Blades,230,9″/ 230mm PDA Series,9″/230mm PDA Series,yes
172,9″_230MM_TURBO_RIM_BLADE,Diamond Blades,230,9″/230mm Turbo Rim Blade,9″/230mm Turbo Rim Blade,
55,10″_100_TEETH_ALUMINIUM,Diamond Blades,250,10″ 100 Teeth Aluminium,10″ 100-Tooth Aluminium Blade,yes
3,10″_120_TEETH_ALUMINIUM,Diamond Blades,250,10″ 120 Teeth Aluminium,10″ 120-Tooth Aluminium Blade,yes
7,10″_60_TEETH_WOOD,Diamond Blades,250,10″ 60 Teeth Wood,10″ 60-Tooth Wood Blade,yes
225,10″_TILE_SAW_BLADE-SAW-BLADE,Diamond Blades,250,10″ Tile Saw Blade,10″ Tile Saw Blade,
222,10″_TILE_SAW_BLADE-60-2,Diamond Blades,250,10″ Tile Saw Blade,10″ Tile Saw Blade (2),yes
108,10″_TILE_SAW_BLADE,Diamond Blades,250,10″ Tile Saw Blade,10″ Tile Saw Blade (BLADE),yes
2,12″_120_TEETH_ALUMINIUM,Diamond Blades,300,12″ 120 Teeth Aluminium,12″ 120-Tooth Aluminium Blade,yes
6,12″_60_TEETH_WOOD,Diamond Blades,300,12″ 60 Teeth Wood,12″ 60-Tooth Wood Blade,yes
107,12″_TILE_SAW_BLADE,Diamond Blades,300,12″ Tile Saw Blade,12″ Tile Saw Blade,
126,12″_300MM_ECOSMART_SERIES,Diamond Blades,300,12″/300mm EcoSmart Series,12″/300mm EcoSmart Series,
166,12″_300MM_GHOST_SERIES,Diamond Blades,300,12″/300mm GHOST Series,12″/300mm GHOST Series,
132,12″_300MM_PDA_SERIES,Diamond Blades,300,12″/300mm PDA Series,12″/300mm PDA Series,
5,14″_80_TEETH_WOOD,Diamond Blades,350,14″ 80 Teeth Wood,14″ 80-Tooth Wood Blade,yes
187,14″_GRANITE_BLADE,Diamond Blades,350,14″ Granite Blade,14″ Granite Blade,
143,14″_6.5MM,Diamond Blades,350,14″ – 6.5mm,14″-6.5mm Segment,yes
142,14″_9.5MM,Diamond Blades,350,14″ – 9.5mm,14″-9.5mm Segment,yes
121,14″_350MM_CLASSIC_SERIES,Diamond Blades,350,14″ / 350mm CLASSIC Series,14″/350mm CLASSIC Series,yes
170,14″_350MM_DUALBOND_SERIES,Diamond Blades,350,14″ / 350mm DualBond Series,14″/350mm DualBond Series,yes
124,14″_350MM_ECOSAVE_SERIES,Diamond Blades,350,14″ / 350mm EcoSave Series,14″/350mm EcoSave Series,yes
127,14″_350MM_ECOSMART_SERIES,Diamond Blades,350,14″ / 350mm EcoSmart Series,14″/350mm EcoSmart Series,yes
165,14″_350MM_GHOST_SERIES,Diamond Blades,350,14″/350mm GHOST Series,14″/350mm GHOST Series,
164,14″_350MM_HSP_SERIES,Diamond Blades,350,14″/350mm HSP Series,14″/350mm HSP Series,
224,14″_350MM_PDA_SERIES-FSL350PDA,Diamond Blades,350,14″/350mm PDA Series,14″/350mm PDA Series,
131,14″_350MM_PDA_SERIES,Diamond Blades,350,14″/350mm PDA Series,14″/350mm PDA Series (SERIES),yes
120,14″_350MM_WARLORD_SERIES,Diamond Blades,350,14″ / 350mm WARLORD Series,14″/350mm WARLORD Series,yes
14,14″_350MM_DBS_III_NEW,Diamond Blades,350,14″/Ø350mm DBS III ( NEW! ),14″/Ø350mm DBS III,yes
57,14″_350MM_RING_SAW_BLADE,Diamond Blades,350,14″/Ø350mm Ring Saw Blade,14″/Ø350mm Ring Saw Blade,
123,16″_400MM_ECOSAVE_SERIES,Diamond Blades,400,16″/400mm EcoSave Series,16″/400mm EcoSave Series,
125,16″_400MM_ECOSMART_SERIES,Diamond Blades,400,16″/400mm EcoSmart Series,16″/400mm EcoSmart Series,
163,16″_400MM_HSP_SERIES,Diamond Blades,400,16″/400mm HSP Series,16″/400mm HSP Series,
223,16″_400MM_PDA_SERIES-FSL400PDA,Diamond Blades,400,16″/400mm PDA Series,16″/400mm PDA Series,
130,16″_400MM_PDA_SERIES,Diamond Blades,400,16″/400mm PDA Series,16″/400mm PDA Series (SERIES),yes
122,16″_400MM_SUPERB_SERIES,Diamond Blades,400,16″/400mm Superb Series,16″/400mm Superb Series,
129,18″_450MM_HS_BLUE_SERIES,Diamond Blades,450,18″/450mm HS BLUE Series,18″/450mm HS BLUE Series,
137,18″_450MM_PDA_SERIES,Diamond Blades,450,18″/450mm PDA Series,18″/450mm PDA Series,
